,GEO_ID,Name,Total Population,Percent Male,Percent Female,Median Age,Percent Under 18,Percent 65 and Over,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Other Race,Percent Two or More Races,Percent Hispanic or Latino,Total Housing Units,Median Income,Percent of Population over 25 with Bachelor's Degree or Higher
651,1400000US19153011304,Census Tract 113.04; Polk County; Iowa,4934,47.4,52.6,45.0,31.0,11.3,88.0,3.9,0.2,6.8,0.0,0.0,1.1,0.3,1898,174107,73.2
652,1400000US19153011305,Census Tract 113.05; Polk County; Iowa,3611,52.1,47.9,24.7,43.6,1.5,61.6,37.5,0.0,0.2,0.0,0.0,0.7,3.8,1214,63790,39.9
653,1400000US19153011405,Census Tract 114.05; Polk County; Iowa,2970,42.8,57.2,38.2,33.8,5.1,81.3,0.0,0.3,13.1,0.0,0.0,5.3,2.0,1089,185645,70.3
654,1400000US19153011406,Census Tract 114.06; Polk County; Iowa,6300,52.5,47.5,39.5,23.7,23.0,83.7,10.6,0.1,1.4,0.0,0.0,4.2,3.3,2834,86379,50.9
655,1400000US19153011500,Census Tract 115; Polk County; Iowa,7861,52.7,47.3,38.5,27.1,11.6,97.8,0.5,0.0,0.0,0.0,0.3,1.4,0.5,2926,144815,47.0
656,1400000US19153011600,Census Tract 116; Polk County; Iowa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
657,1400000US19153011702,Census Tract 117.02; Polk County; Iowa,4345,47.2,52.8,39.3,23.7,25.0,80.4,5.6,0.1,8.9,0.0,2.0,2.9,3.4,2016,79958,46.6
658,1400000US19153011703,Census Tract 117.03; Polk County; Iowa,5698,45.3,54.7,40.6,29.9,12.8,79.9,4.1,0.0,9.7,0.0,1.8,4.5,3.8,2256,139960,62.9
659,1400000US19153011704,Census Tract 117.04; Polk County; Iowa,2974,53.8,46.2,43.0,30.1,9.0,98.1,0.0,0.0,1.0,0.0,0.0,0.9,0.0,993,143314,62.8
660,1400000US19155021200,Census Tract 212; Pottawattamie County; Iowa,3780,54.3,45.7,38.0,27.3,15.6,79.8,0.6,0.8,0.6,0.0,3.5,14.7,18.8,1445,64479,12.9
661,1400000US19155021400,Census Tract 214; Pottawattamie County; Iowa,3394,53.1,46.9,48.6,18.2,20.8,93.9,0.6,0.6,0.0,0.0,0.0,4.9,1.1,1423,102388,31.7
